項目名,説明,値
MV画像パス,メインビジュアルの背景画像,./images/mv.webp
MVアピールテキスト1,メインビジュアルの左側テキスト,コスパ×通いやすさで選ぶ
MVアピールテキスト2,メインビジュアルの右側テキスト,
MVSVGテキスト1,メインビジュアルの大きなSVGテキスト,医療ダイエット
MVSVGテキスト2,メインビジュアルの小さなSVGテキスト,人気クリニック{{RANK_COUNT}}選
ランキングバナー画像パス,ランキングセクションのバナー画像,./images/ranking_header_banner.webp
ランキング地域名テキスト,ランキングセクション上部の地域名に続くテキスト,で人気の医療ダイエットはココ！
Tipsタブ1タイトル,Tipsセクションの1つ目のタブ,部分痩せと効果
Tips1内容,Tips1の説明文,本気で痩せたいなら<deco>医療痩身が最短！</deco>科学的根拠に基づき、脂肪細胞そのものを破壊・減少させるので痩せる仕組みで、リバウンドしにくい！と今人気急上昇中のダイエット法！
Tips1画像パス,Tips1セクションの画像,./images/Tips1.webp
Tipsタブ2タイトル,Tipsセクションの2つ目のタブ,リスクと副作用
Tips2内容,Tips2の説明文,クリニック選びの失敗が理想の体型実現の失敗につながります。<br>強引な勧誘は危険信号。次の3条件を満たす医院を選びましょう。<br>☑️医師が直接診察する<br>☑️施術後のアフターケア<br>☑️料金を明確に説明する
Tips2画像パス,Tips2セクションの画像,./images/Tips2.webp
Tipsタブ3タイトル,Tipsセクションの3つ目のタブ,今がおすすめ
Tips3内容,Tips3の説明文,夏本番になると予約が取りにくくなり、料金も高くなりがち。今なら<deco>夏直前キャンペーン</deco>でお得に始められて、予約もスムーズ！理想の体型で夏を迎えるなら今がラストチャンスです。
Tips3画像パス,Tips3セクションの画像,./images/Tips3.webp
比較表タイトル,比較表セクションの見出し,で人気の医療ダイエット
比較表サブタイトル,比較表のサブタイトル,クリニックを<span class="accent-text">徹底比較</span>
詳細バナー画像パス,詳細セクションのバナー画像,./images/details_header_bannar3.webp
